© 2000-2018 QIAGEN. All rights reserved.															
Symbol	Synonym(s)	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Expr Other	Expr Log Ratio	Expr p-value	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat	PubChem ID	HMDB ID	CAS ID
HMOX1	bK286B10, D8Wsu38e, haemox, HEME OXYGENASE, HEME OXYGENASE (DECYCLIZING) 1, Heme oxygenase 1, Hemox, Heox, HEOXG, Hmox, HMOX1D, HO-1, HSP32	heme oxygenase 1	HMOX1	1970.5506	-0.207081639	0.014461837	Cytoplasm	enzyme	tin mesoporphyrin	3162	15368	24451			
HTRA2	AI481710, HtrA serine peptidase 2, MGCA8, mnd2, OMI, PARK13, PRSS25	HtrA serine peptidase 2	HTRA2	944.2691758	-0.407816138	6.09216E-08	Cytoplasm	peptidase		27429	64704	297376			
hydrogen peroxide	7722-84-1, A-101, Eskata, H2O2, hydrogen dioxide, hydrogen peroxide, urea hydrogen peroxide						Other	chemical - endogenous mammalian					784	HMDB0003125	7722-84-1
IGF1	C730016P09Rik, IGF, IGF-I, IGF-I-smC, insulin like growth factor I, INSULIN-LIKE GROWTH FACTOR 1, insulin-like somatomedin peptide I, MAD isoform 4, mecasermin, mecasermin recombinant, MGF, Preproinsulin-like growth factor ia, somatomedin C	insulin like growth factor 1	IGF1	24.8602797	0.764467952	0.074335652	Extracellular Space	growth factor	MEDI-573, BI 836845	3479	16000	24482			
IKBKB	AI132552, AIM-1, I kappa b beta, i _ b kinase, I _ b _, Ikb Kinase Beta, Ikb Kinase _, IKK-2, IKK-beta, IKK-_, IKKB, IKK[b], IMD15, inhibitor of kappaB kinase beta, inhibitor of kappaB kinase _, inhibitor of nuclear factor kappa B kinase subunit beta, inhibitor of nuclear factor _ B kinase subunit _, NFKBIKB	inhibitor of nuclear factor kappa B kinase subunit beta	IKBKB	1152.73965	-0.134949399	0.05985628	Cytoplasm	kinase	IKKbeta inhibitor, auranofin	3551	16150	84351			
IL12B	CLMF, CLMF2, COSTIMULATORY MOLECULE P40, IL-12, IL-12 p40, IL-12p40/p70, IL-23 P40, IMD28, IMD29, interleukin 12B, NKSF, NKSF2, p40	interleukin 12B					Extracellular Space	cytokine	ustekinumab, methotrexate/ustekinumab	3593	16160	64546			
IL1B	IL-1, IL-1F2, IL-1_, IL1-BETA, interleukin 1 beta, Interleukin 1 _, pro-IL1beta, pro-IL1_	interleukin 1 beta	IL1B	61.92992059	0.891957517	0.332685164	Extracellular Space	cytokine	canakinumab, gevokizumab, canakinumab/INS, gallium nitrate	3553	16176	24494			
IL6	BSF-2, CDF, FDGI, HGF, HSF, IFN beta 2A, IFN _ 2A, IFN-beta-2, IFN-_-2, IFNB2, ILg6, interleukin-6	interleukin 6					Extracellular Space	cytokine	tocilizumab, siltuximab, clazakizumab	3569	16193	24498			
INS	AA986540, CP-II, EINECS 234-279-7, humuline, IDDM, IDDM1, IDDM2, iletin, ILPR, Ins2, InsII, Insulin, insulin A chain, insulin B chain, insulin II, Insulin2, IRDN, Mody, MODY10, Mody4, novolin, oral insulin, ORMD-0801, Preproinsulin, Proinsulin2, regular insulin, soluble insulin, technosphere insulin, ultraphane	insulin					Extracellular Space	other		3630	16334	24506			
Ins1	Ins2-rs1, insulin 1, Insulin I, Preproinsulin, proinsulin	insulin I					Extracellular Space	other			16333	24505			
ITGAM	C3R, CD11B, CD11B/CD18, Complement Receptor 5, COMPLEMENT receptor type 3, CR3, CR3A, F730045J24Rik, integrin alpha M, integrin subunit alpha M, integrin subunit _ M, Integrin _ m, ITGAN, Ly-40, MAC-1, MAC1A, MO1A, SLEB6	integrin subunit alpha M	ITGAM	28.49207033	-0.064156607	0.900706286	Plasma Membrane	transmembrane receptor		3684	16409	25021			
ITGAX	AI449405, CD11C, Complement Receptor 4, Cr4, INTEGRIN alpha X, integrin subunit alpha X, integrin subunit _ X, INTEGRIN _ X, N418, RGD1561123, SLEB6	integrin subunit alpha X	ITGAX	195.4267739	0.237424391	0.132002846	Plasma Membrane	transmembrane receptor		3687	16411	499271			
JUN	Activator protein 1, AP-1, API-1, c-Fos, c-Jun, jun proto-oncogene, Jun proto-oncogene, AP-1 transcription factor subunit, Junc, LOC100288387, LOC100291417, LOC100293034, p39, v-Jun, V-jun Avian Sarcoma Virus 17 Oncogene Homolog, V-jun Sarcoma Virus 17 Oncogene Homolog	Jun proto-oncogene, AP-1 transcription factor subunit	JUN	3504.31656	0.385971585	2.69707E-06	Nucleus	transcription regulator		3725	16476	24516			
KAT5	AI839539, CPLA2, ESA1, HTATIP1, HTATIP, K(lysine) acetyltransferase 5, lysine acetyltransferase 5, PLIP, Tip55, TIP60, TIP, ZC2HC5	lysine acetyltransferase 5	KAT5	809.659624	-0.119242356	0.266276062	Nucleus	transcription regulator		10524	81601	192218			
KDR	6130401C07, CD309, Flk, FLK1, Kinase Insert Domain, kinase insert domain protein receptor, kinase insert domain receptor, Krd-1, Ly73, orv, sVEGFR-2, VEGFR, VEGFR-2	kinase insert domain receptor					Plasma Membrane	kinase	AEE 788, sunitinib, cediranib, pazopanib, axitinib, tesevatinib, CEP 7055, brivanib alaninate, CHIR-265, lenvatinib, tivozanib, BMS-690514, motesanib, OSI-930, telatinib, XL999, brivanib, ramucirumab, cabozantinib, nintedanib, XL820, pegdinetanib, foretinib, regorafenib, golvatinib, henatinib, TAK 593, apatinib, CP-547632, PF 00337210, JI 101, CYC 116, bortezomib/sorafenib, lapatinib/pazopanib, dexamethasone/lenalidomide/sorafenib, bevacizumab/sorafenib, rebastinib, MGCD-265, cabozantinib/erlotinib, famitinib, lucitanib, paclitaxel/ramucirumab, VEGF inhibitor drug, docetaxel/ramucirumab, cytarabine/idarubicin/sorafenib, 5-azacytidine/sorafenib, decitabine/sorafenib, fruquintinib, altiratinib, MGCD516, anlotinib, SAR103168, pexmetinib, sulfatinib, VEGFR2-targeted Contrast Agent BR55, pegylated anti-GRF antibody fragment, PRS-050-PEG40, everolimus/sorafenib, docetaxel/nintedanib, everolimus/lenvatinib, VEGFR2 inhibitor, vatalanib, sorafenib, sorafenib/sulindac/sunitinib, vandetanib, pegaptanib, imatinib/sunitinib, crizotinib/pazopanib, semaxinib, orantinib, midostaurin	3791	16542	25589			
KITLG	blz, C-kit ligand, Clo, Con, contrasted, DCUA, DFNA69, FPH2, FPHH, Gb, KIT ligand, KITL, KL-1, Mast cell factor, MGF, SCF, SCF receptor LIGAND, Scf164, SF, SHEP7, Sl, SLF, STEEL FACTOR, Stem cell factor	KIT ligand	KITLG	426.6300047	-0.265444826	0.081151761	Extracellular Space	growth factor		4254	17311	60427			
KNG1	BDK, BK, High MW KNG1, K-kininogen, KININOGEN, KININOGEN 1, kininogen 2, kininogen 2-like 1, KINKG, KINKH, KINT1G, KNG, Kng1 v1, KNG2, Kng2l1, Kngk, Kngt, Kngt1, Map1, Tkg, TKG6	kininogen 1					Extracellular Space	other		3827	16644|385643	25087			
KRT1	CK1, EHK, EHK1, EPPK, K1, Kb1, Keratin 1, Keratin 2-1, Keratin complex 2 basic gene 1, KERATIN, 67K type II CYTOSKELETAL, Krt-2.1, KRT1A, KRT2-1, Krt86, NEPPK	keratin 1					Cytoplasm	other		3848	16678	300250			
L-dopa	(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid, 2-amino-3-(3,4-dihydroxyphenyl)propanoic acid, 23734-74-9, 25525-15-9, 3-hydroxy-L-tyrosine, 34241-25-3, 587-45-1, 59-92-7, 72572-99-7, 72573-00-3, 88250-23-1, 90638-38-3, alanine, 3-(3,4-dihydroxyphenyl)-, L-, Bendopa, Brocadopa, C9H11NO4, Cidandopa, Deadopa, Dopaflex, Dopaidan, Dopal, Dopal-Fher, Dopalina, Dopar, Doparkine, Doparl, Dopasol, Dopaston, Dopastral, Doprin, Eldopal, Eldopar, Eldopatec, Eurodopa, Helfo-Dopa, infudopa, Insulamina, L 3,4 dihydroxyphenylalanine, L-Dopa, L-tyrosine, 3-hydroxy-, L-_-(3,4-dihydroxyphenyl)alanine, laevodopa, Laradopa, Larodopa, Ledopa, Levedopa, levodopa, Levopa, Maipedopa, Parda, Pardopa, Prodopa, Syndopa, Veldopa, Weldopa						Other	chemical - endogenous mammalian					6047	HMDB0000181	59-92-7
LARP1	1810024J12Rik, 3110040D16Rik, La ribonucleoprotein domain family member 1, La ribonucleoprotein domain family, member 1, LARP, mKIAA0731, RGD1306683	La ribonucleoprotein domain family member 1	LARP1	9429.749715	0.687009748	4.83762E-25	Cytoplasm	translation regulator		23367	73158	303158			
let-7a-5p (and other miRNAs w/seed GAGGUAG)	hsa-let-7a, hsa-let-7a MM1, hsa-let-7a-5p, hsa-let-7b, hsa-let-7b-5p, hsa-let-7c, hsa-let-7c-5p, hsa-let-7d, hsa-let-7d-5p, hsa-let-7e, hsa-let-7e-5p, hsa-let-7f, hsa-let-7f-5p, hsa-let-7g, hsa-let-7g-5p, hsa-let-7i, hsa-let-7i-5p, hsa-miR-4458, hsa-miR-4500, hsa-miR-98, hsa-miR-98-5p, LET-7, let-7a, let-7b, let-7c, let-7d, let-7e, let-7f, let-7g, let-7i, miR-98, MIRLET7, MIRLET7A, MIRLET7A1, MIRLET7B, MIRLET7C, MIRLET7D, MIRLET7E, MIRLET7G, MIRNLET-7, MIRNLET7A1-5P, mmu-Let-7, mmu-let-7a, mmu-let-7a-5p, mmu-let-7b, mmu-let-7b-5p, mmu-let-7c, mmu-let-7c-5p, mmu-let-7d, mmu-let-7d-5p, mmu-let-7e, mmu-let-7e-5p, mmu-let-7f, mmu-let-7f-5p, mmu-let-7g, mmu-let-7g-5p, mmu-let-7i, mmu-let-7i-5p, mmu-let-7k, mmu-miR-1961, mmu-miR-98, mmu-miR-98-5p, rno-let-7a, rno-let-7a-5p, rno-let-7b, rno-let-7b-5p, rno-let-7c, rno-let-7c-5p, rno-let-7d, rno-let-7d-5p, rno-let-7e, rno-let-7e-5p, rno-let-7f, rno-let-7f-5p, rno-let-7g-5p, rno-let-7i, rno-let-7i-5p, rno-miR-98, rno-miR-98-5p						Cytoplasm	mature microRNA							
linsidomine	16142-27-1, 3-morpholin-4-yl-1-oxa-3-azonia-2-azanidacyclopent-3-en-5-imine, 3-morpholino-sydnonimine, 3-morpholinosydnone imine, 3-morpholinosydnone imine HCl, 3-morpholinosydnone imine hydrochloride, 3-morpholinosydnonimine HCl, 3-morpholinosydnonimine hydrochloride, 33876-97-0, C6H10N4O2, SIN-1						Other	chemical drug					5219	--	16142-27-1
LRP6	ADCAD2, C030016K15RIK, CD, Gw, LDL receptor related protein 6, LOC100502826, Low-density lipoprotein receptor-related protein 6, ska26, ska<m26Jus>, skax26, STHAG7	LDL receptor related protein 6	LRP6	234.549293	-0.510407144	0.116040406	Plasma Membrane	transmembrane receptor		4040	16974	312781			
MAP2K1	CFC3, MAPKK1, Mek, MEK1, MEKK1, mitogen-activated protein kinase kinase 1, MKK1, Mkp1, PRKMK1	mitogen-activated protein kinase kinase 1	MAP2K1	1263.519322	0.416550573	5.66086E-07	Cytoplasm	kinase	selumetinib, pimasertib, ARRY-424704, trametinib, E 6201, refametinib, TAK 733, cobimetinib, AS703988, dabrafenib/trametinib, cobimetinib/vemurafenib, MKK1 inhibitor, dabrafenib/trametinib/vemurafenib, dabrafenib/panitumumab/trametinib, PD184352, trametinib/vemurafenib, trametinib/vorinostat	5604	26395	170851			
MAP2K2	AA589381, CFC4, ERK ACTIVATOR KINASE 2, MAPKK2, MEK2, mitogen-activated protein kinase kinase 2, MK2, MKK2, p45 MAPK KINASE, PRKMK2	mitogen-activated protein kinase kinase 2	MAP2K2	4641.115679	0.438402918	2.5586E-08	Cytoplasm	kinase	selumetinib, pimasertib, trametinib, TAK 733, cobimetinib, AS703988, dabrafenib/trametinib, cobimetinib/vemurafenib, dabrafenib/trametinib/vemurafenib, dabrafenib/panitumumab/trametinib, PD184352, trametinib/vemurafenib, trametinib/vorinostat	5605	26396	58960			
MAP2K3	AW212142, LOC100911550, MAP KINASE KINASE 3B, MAPKK3, MEK3, mitogen-activated protein kinase kinase 3, MKK3, Mkk3b, mMKK3b, PRKMK3, SAPKK-2	mitogen-activated protein kinase kinase 3	MAP2K3	1551.480607	-0.187202515	0.042784821	Cytoplasm	kinase		5606	26397	303200			
MAP2K4	JNKK1, JNKK, MAPK/ERK KINASE-1, MAPKK4, MEK4, mitogen-activated protein kinase kinase 4, MKK4, PRKMK4, SAPKK-1, SEK1, SERK1, SKK1	mitogen-activated protein kinase kinase 4	MAP2K4	1744.601902	0.975000162	6.31689E-46	Cytoplasm	kinase		6416	26398	287398			
MAP2K5	AI324775, AI428457, HsT17454, MAP kinase kinase 5, MAPKK5, MEK5, mitogen-activated protein kinase kinase 5, MKK5, PRKMK5	mitogen-activated protein kinase kinase 5	MAP2K5	731.4235333	0.817671825	8.99769E-14	Cytoplasm	kinase		5607	23938	29568			
MAP2K6	Mapk kinase 6, MAPKK6, MEK6, mitogen-activated protein kinase kinase 6, MKK6, MKK6BE, PRKMK6, Rac, SAPKK-3	mitogen-activated protein kinase kinase 6	MAP2K6	295.0500373	0.958081284	3.31939E-14	Cytoplasm	kinase		5608	26399	114495			
MAP2K7	5930412N11Rik, JNKK, JNKK 2, MAPK2K7, MAPKK 7, Mapkk7 protein 2, MEK, MEK 7, mitogen-activated protein kinase kinase 7, MKK7, Mkk7 beta1, PRKMK7, SAPKK-4, sek2	mitogen-activated protein kinase kinase 7	MAP2K7	1222.574959	0.439404489	5.73962E-10	Cytoplasm	kinase		5609	26400	363855			
MAP3K2	9630061B06RIK, AI585793, LOC100506904, M3K2, MEKK2, MEKK2B, mitogen-activated protein kinase kinase kinase 2	mitogen-activated protein kinase kinase kinase 2	MAP3K2	3201.424897	-0.997830243	5.99633E-26	Cytoplasm	kinase		10746	26405	171492			
MAP3K3	AW548911, MAPKKK3, MEKK3, mitogen-activated protein kinase kinase kinase 3, mKIAA4031	mitogen-activated protein kinase kinase kinase 3	MAP3K3	1636.190297	-0.231223104	0.000832223	Cytoplasm	kinase		4215	26406	303604			
MAP3K4	D17Rp17, D17Rp17e, MAPK3K4, MAPKKK4, Mek4b, MEKK 4, MEKK1, mitogen-activated protein kinase kinase kinase 4, mKIAA0213, MTK1, PRO0412, RP17, Rp17a, TAS	mitogen-activated protein kinase kinase kinase 4	MAP3K4	1927.742178	-0.436956121	1.29608E-09	Cytoplasm	kinase		4216	26407	308106			
MAP3K5	7420452D20Rik, APOPTOSIS SIGNAL REGULATED KINASE 1, ASK, ASK1, M3K5, MAPKKK5, MEKK5, mitogen-activated protein kinase kinase kinase 5, RGD1306565	mitogen-activated protein kinase kinase kinase 5	MAP3K5	262.7075305	-1.736630964	4.7437E-33	Cytoplasm	kinase	selonsertib	4217	26408	365057			
MAP3K7	B430101B05, C87327, CSCF, FMD2, Map3k7 predicted, MEKK7, mitogen-activated protein kinase kinase kinase 7, TAK1, tgf _ activated kinase 1, TGF1a	mitogen-activated protein kinase kinase kinase 7	MAP3K7	1881.366182	0.039642297	0.644685405	Cytoplasm	kinase		6885		313121			
Mapk	Map Kinase, NGF/EGF DEPENDENT KINASE						Cytoplasm	group	MAP kinase inhibitor						
MAPK11	LOC679007, mitogen-activated protein kinase 11, p38 beta Mapk, p38 MAPK _, P38 _, p38-2, P38B, p38Beta, P38BETA2, p38_ MAPK, PRKM11, SAPK2, SAPK2B	mitogen-activated protein kinase 11	MAPK11	762.0211616	-0.025416841	0.816091673	Cytoplasm	kinase	talmapimod, regorafenib, ralimetinib	5600	19094	689314			
MAPK14	CRK1, CSBP, CSBP1, CSBP2, CSPB1, EXIP, Hog, LOC101929346, MAPK p38, mitogen-activated protein kinase 14, Mxi2, p38, p38 kinase, P38 Map Kinase, p38 MAP kinases alpha and beta, p38 MAP kinases _ and _, p38 MAPK, p38 MAPK-_, p38-_, p38a, p38ALPHA, p38Hog, PRKM14, PRKM15, RK, SAPK p38 alpha, SAPK p38 _, SAPK2A	mitogen-activated protein kinase 14	MAPK14	3033.212074	0.357688658	1.97844E-08	Cytoplasm	kinase	talmapimod, RO-3201195, ralimetinib, p38 MAP kinase inhibitor	1432	26416	81649			
MAPKAPK2	AA960234, MAP kinase-activated protein kinase 2, Mapkap2, Mapkap kinase2, mitogen-activated protein kinase-activated protein kinase 2, MK-2, Rps6kc1	mitogen-activated protein kinase-activated protein kinase 2	MAPKAPK2	4568.702443	1.607675642	1.4151E-148	Nucleus	kinase	cdc25C phosphatase (211-221)	9261	17164	289014			
MAPKAPK2/3	Mk2/mk3						Nucleus	group							
MAPKAPK3	3PK, AI874665, Mapkap kinase 3, MAPKAP3, MapkKapk3, MDPT3, mitogen-activated protein kinase-activated protein kinase 3, MK-3	mitogen-activated protein kinase-activated protein kinase 3	MAPKAPK3	3916.432489	0.316620867	4.22491E-08	Nucleus	kinase		7867	102626	315994			
MAPKAPK5	LOC100047833, MAP kinase-activated protein kinase 5, MAPK5, MAPKAP kinase 5, mitogen-activated protein kinase-activated protein kinase 5, MK-5, PRAK	mitogen-activated protein kinase-activated protein kinase 5	MAPKAPK5	908.8851794	0.622722375	6.79053E-15	Cytoplasm	kinase		8550	17165	498183			
MAPT	AI413597, ALZ50, AW045860, DDPAC, FTDP-17, MAPTL, microtubule-associated protein tau, MSTD, Mtapt, MTBT1, MTBT2, PPND, PPP1R103, pTau, RNPTAU, TAU, Tau 3r, Tau-1, TAU-FACTOR, TAU4R	microtubule associated protein tau	MAPT	92.4188947	-2.059371537	1.08575E-17	Plasma Membrane	other		4137	17762	29477			
MBP	C76307, Golli, golli-mbp, Hmbpr, jve, Mbp1, Mbps, mld, myelin basic protein, MYELIN BASIS, R75289, shi	myelin basic protein	MBP	34.37793532	-0.493059915	0.18420442	Extracellular Space	other		4155	17196				
MEF2	MEFs, RSRF						Nucleus	group							
MEF2A	A430079H05Rik, ADCAD1, M-S EF2A, mef2, myocyte enhancer factor 2A, RSRFC4, RSRFC9	myocyte enhancer factor 2A	MEF2A	1501.189945	-0.485424445	3.39453E-08	Nucleus	transcription regulator		4205	17258	309957			
MEF2C	5430401D19RIK, 9930028G15RIK, AV011172, C5DELq14.3, DEL5q14.3, LOC685671, Mef2, myocyte enhancer factor 2C, Myocyte specific enhancer factor 2, RGD1563119	myocyte enhancer factor 2C	MEF2C	40.5295564	-0.490572848	0.198687803	Nucleus	transcription regulator		4208	17260	499497			
Mek	Erk Kinase, MAP2K, MAPK Kinase, MAPKK, MITOGEN-ASSOCIATED EXTRACELLULAR SIGNAL-REGULATED KINASE, MKK						Cytoplasm	group	PD 0325901, selumetinib, CH5126766, WX-554, GDC-0623, MAP kinase kinase inhibitor, RO-4987655, BI 847325, SHR7390						
methyl methanesulfonate	66-27-3, C2H6O3S, methanesulfonic acid methyl ester, methanesulfonic acid, methyl ester, methyl mesylate, methyl methanesulfonate, methyl methanesulphonate, MMS						Other	chemical toxicant					4156	--	66-27-3
mir-1	hsa-mir-1-1, hsa-mir-1-2, hsa-mir-1b-1, hsa-mir-1b-2, hsa-mir-206, MI0000258, MI0000435, MI0000436, microRNA 1, microRNA 1-1, microRNA 1-2, microRNA 1a-1, microRNA 1a-2, microRNA 1b, microRNA 1c, microRNA 1d, microRNA 206, microRNA 3571, MIR-1B, miR-1b-2, MIR-1D, MIR1-1, MIR1-2, Mir1-2-as, Mir1a, Mir1a-1, Mir1a-2, MIR206, Mir3571, MIRN1, MIRN1-1, MIRN1-2, Mirn1-2-as, Mirn1b, Mirn1c, MIRN1D, MIRN206, miRNA1-1, miRNA1-2, miRNA206, mmu-miR-1, mmu-mir-1-1, mmu-mir-1-2, mmu-mir-1-2-as, mmu-mir-1a-1, mmu-mir-1a-2, Mmu-mir-1b, Mmu-mir-1d, mmu-mir-206, rno-mir-1, rno-mir-1b, rno-mir-206, rno-mir-3571	microRNA 206					Cytoplasm	microRNA		406905|406904|406989	387202|100316783|723959|387136	104796289|100526624|100314077|100314052			
miR-1180-5p (and other miRNAs w/seed GACCCAC)	hsa-miR-1180-5p, hsa-miR-7114-3p						Cytoplasm	mature microRNA							
miR-122-5p (miRNAs w/seed GGAGUGU)	hsa-miR-122, hsa-miR-122-5p, hsa-miR-122a, MIR122, mmu-miR-122, mmu-miR-122-5p, mmu-miR-122a, rno-miR-122, rno-miR-122-5p, rno-miR-122a						Cytoplasm	mature microRNA							
miR-1233-5p (and other miRNAs w/seed GUGGGAG)	hsa-miR-1233-1-5p, hsa-miR-1233-5p, hsa-miR-6778-5p, miR-705, mmu-miR-6922-5p, mmu-miR-6935-5p, mmu-miR-6993-5p, mmu-miR-7008-5p, mmu-miR-705						Cytoplasm	mature microRNA							
miR-1234-3p (and other miRNAs w/seed CGGCCUG)	hsa-miR-1234, hsa-miR-1234-3p, hsa-miR-7107-5p, miR-1234						Cytoplasm	mature microRNA							
miR-1243 (miRNAs w/seed ACUGGAU)	hsa-miR-1243, miR-1243						Cytoplasm	mature microRNA							
miR-1266-5p (and other miRNAs w/seed CUCAGGG)	hsa-miR-1266, hsa-miR-4518, hsa-miR-1266-5p, miR-1266						Cytoplasm	mature microRNA							
miR-1302 (and other miRNAs w/seed UGGGACA)	hsa-miR-1302, hsa-miR-4298, miR-1302						Cytoplasm	mature microRNA							
mir-133	HSA-MIR-133, hsa-mir-133a, hsa-mir-133a-1, hsa-mir-133a-2, hsa-mir-133b, microRNA 133, microRNA 133a-1, microRNA 133a-2, microRNA 133b, microRNA 3582, MIR133A, MIR133A1, MIR133A2, MIR133B, Mir133c, Mir3582, Mirn133, MIRN133A, MIRN133A1, MIRN133A2, MIRN133B, miRNA133B, Mmu-mir-133, mmu-mir-133a-1, mmu-mir-133a-2, mmu-mir-133b, rno-mir-133a, rno-mir-133b, rno-mir-133c, rno-mir-3582	microRNA 133b					Cytoplasm	microRNA		406922|406923|442890	387151|723817|723954	100314030|100526597|100314078			
miR-149-5p (miRNAs w/seed CUGGCUC)	hsa-miR-149, hsa-miR-149-5p, miR-149, mmu-miR-149, mmu-miR-149-5p, rno-miR-149-5p						Cytoplasm	mature microRNA							
miR-151-5p (and other miRNAs w/seed CGAGGAG)	hsa-miR-151-5p, hsa-miR-151a-5p, hsa-miR-151b, miR-151, miR-151-5p, mmu-miR-151-5p, rno-miR-151, rno-miR-151*, rno-miR-151-5p						Cytoplasm	mature microRNA							
miR-185-5p (and other miRNAs w/seed GGAGAGA)	hsa-miR-185, hsa-miR-185-5p, hsa-miR-4306, hsa-miR-4644, miR-185, miR-185-5p, miR-882, mmu-miR-185, mmu-miR-185-5p, mmu-miR-3473, mmu-miR-3473a, mmu-miR-882, rno-miR-185, rno-miR-185-5p						Cytoplasm	mature microRNA							
miR-1909-3p (and other miRNAs w/seed GCAGGGG)	hsa-miR-1909, hsa-miR-1909-3p, hsa-miR-6722-3p, miR-1909, mmu-miR-7067-5p						Cytoplasm	mature microRNA							
miR-1911-3p (miRNAs w/seed ACCAGGC)	hsa-miR-1911*, hsa-miR-1911-3p, miR-1911*						Cytoplasm	mature microRNA							
miR-2682-3p (and other miRNAs w/seed GCCUCUU)	hsa-miR-2682*, hsa-miR-2682-3p, hsa-miR-6781-3p, mmu-miR-6963-3p						Cytoplasm	mature microRNA							
miR-296-5p (miRNAs w/seed GGGCCCC)	hsa-miR-296, hsa-miR-296-5p, miR-296, miR-296*, miR-296-5p, mmu-miR-296, mmu-miR-296-5p, rno-miR-296, rno-miR-296*, rno-miR-296-5p						Cytoplasm	mature microRNA							
miR-298-5p (and other miRNAs w/seed GCAGAGG)	hsa-miR-2467-3p, miR-298, mmu-miR-298, mmu-miR-298-5p, rno-miR-298, rno-miR-298-5p						Cytoplasm	mature microRNA							
miR-3070-5p (and other miRNAs w/seed GCCCCUG)	hsa-miR-210-5p, mmu-miR-3070-5p, mmu-miR-3070a*, mmu-miR-3070a-5p						Cytoplasm	mature microRNA							
miR-3072 (and other miRNAs w/seed GCCCCCU)	hsa-miR-4313, mmu-miR-3072, mmu-miR-3072-3p, rno-miR-3072						Cytoplasm	mature microRNA							
miR-31-5p (and other miRNAs w/seed GGCAAGA)	hsa-miR-31, hsa-miR-31-5p, miR-31, mmu-miR-31, mmu-miR-31-5p, rno-miR-31, rno-miR-31a-5p						Cytoplasm	mature microRNA							
miR-3131 (and other miRNAs w/seed CGAGGAC)	hsa-miR-3131, hsa-miR-611, miR-611						Cytoplasm	mature microRNA							
miR-3157-3p (miRNAs w/seed UGCCCUA)	hsa-miR-3157-3p						Cytoplasm	mature microRNA							
miR-3178 (miRNAs w/seed GGGCGCG)	hsa-miR-3178						Cytoplasm	mature microRNA							
miR-3202 (miRNAs w/seed GGAAGGG)	hsa-miR-3202						Cytoplasm	mature microRNA							
miR-337-3p (and other miRNAs w/seed CAGCUCC)	hsa-miR-6736-3p, miR-337-3p, mmu-miR-337, mmu-miR-337-3p						Cytoplasm	mature microRNA							
miR-340-3p (and other miRNAs w/seed CCGUCUC)	hsa-miR-340, hsa-miR-340*, hsa-miR-340-3p, hsa-miR-6827-3p, mir-340, miR-340*, miR-340-3p, mmu-miR-340, mmu-miR-340-3p, rno-miR-340, rno-miR-340-3p						Cytoplasm	mature microRNA							
miR-343 (and other miRNAs w/seed CUCCCUU)	hsa-miR-4287, hsa-miR-4685-3p, miR-343, mmu-miR-343						Cytoplasm	mature microRNA							
miR-3547 (and other miRNAs w/seed GAGCACC)	hsa-miR-3663-3p, mmu-miR-3547-3p, rno-miR-3547						Cytoplasm	mature microRNA							
miR-3569 (and other miRNAs w/seed GAGGACA)	hsa-miR-5004-5p, rno-miR-3569						Cytoplasm	mature microRNA							
miR-3594-5p (and other miRNAs w/seed CCAGGGC)	hsa-miR-4685-5p, hsa-miR-6837-5p, rno-miR-3594-5p						Cytoplasm	mature microRNA							
miR-3653-5p (miRNAs w/seed CUCCUGA)	hsa-miR-3653-5p						Cytoplasm	mature microRNA							
miR-3684 (miRNAs w/seed UAGACCU)	hsa-miR-3684						Cytoplasm	mature microRNA							
miR-3691-3p (miRNAs w/seed CCAAGUC)	hsa-miR-3691-3p						Cytoplasm	mature microRNA							
miR-3922-5p (miRNAs w/seed CAAGGCC)	hsa-miR-3922-5p						Cytoplasm	mature microRNA							
miR-3943 (miRNAs w/seed AGCCCCC)	hsa-miR-3943						Cytoplasm	mature microRNA							
miR-410-5p (and other miRNAs w/seed GGUUGUC)	hsa-miR-453, hsa-miR-323b-5p, hsa-miR-410-5p, hsa-miR-494-5p, miR-453, mmu-miR-410*, mmu-miR-410-5p, mmu-miR-494*, mmu-miR-494-5p, rno-miR-410*, rno-miR-410-5p, rno-miR-494*, rno-miR-494-5p, rno-miR-496*, rno-miR-496-5p						Cytoplasm	mature microRNA							
miR-4281 (miRNAs w/seed GGUCCCG)	hsa-miR-4281						Cytoplasm	mature microRNA							
miR-4292 (and other miRNAs w/seed CCCUGGG)	hsa-miR-4292, hsa-miR-6791-5p						Cytoplasm	mature microRNA							
miR-4433b-3p (miRNAs w/seed AGGAGUG)	hsa-miR-4433b-3p						Cytoplasm	mature microRNA							
miR-4433b-5p (miRNAs w/seed UGUCCCA)	hsa-miR-4433b-5p						Cytoplasm	mature microRNA							
miR-4436b-3p (and other miRNAs w/seed AGGGCAG)	hsa-miR-4436b-3p, hsa-miR-4632-5p, hsa-miR-6735-5p, hsa-miR-6879-5p, hsa-miR-7843-5p, mmu-miR-3087*, mmu-miR-3087-5p						Cytoplasm	mature microRNA							
miR-4449 (miRNAs w/seed GUCCCGG)	hsa-miR-4449						Cytoplasm	mature microRNA							
